server,connections,established,setup_ms,connect_max_us,ack_max_us,requests,errors,mismatches,wall_ms,throughput_rps,mean_us,p50_us,p90_us,p99_us,p999_us,max_us
sequential_server,1,1,0.2,128.8,300.0,200,0,0,9.3,21440,44.8,46.6,59.9,67.8,77.6,79.1
sequential_server,2,2,0.2,131.3,5431.6,400,0,0,14.5,27527,35.1,38.1,54.3,63.6,81.1,89.9
sequential_server,4,4,0.3,224.2,11174.7,800,0,0,13.8,57977,15.4,12.3,14.0,47.2,606.6,788.3
sequential_server,8,8,1.2,752.0,40699.9,1600,0,0,46.5,34398,28.3,12.6,54.2,65.8,85.9,102.3
threaded_server,1,1,0.6,174.8,467.7,200,0,0,2.7,72868,12.6,12.1,13.1,29.3,47.4,51.4
threaded_server,2,2,0.2,130.4,553.3,400,0,0,6.1,65976,20.4,12.8,39.7,95.8,565.5,705.2
threaded_server,4,4,1.8,233.7,590.0,800,0,0,10.1,79026,35.6,32.4,48.2,83.5,1187.2,1189.5
threaded_server,8,8,1.9,458.0,182.5,1600,0,0,15.5,103303,57.6,61.3,76.5,164.9,1499.3,1533.2
threaded_server,16,16,1.3,355.6,8416.8,3200,0,0,29.1,109968,103.8,123.4,147.4,234.5,544.1,615.9
threaded_server,32,32,3.1,569.4,33267.8,6400,0,0,79.8,80209,313.9,296.3,403.5,2000.5,3170.4,3788.2
threaded_server,64,64,9.7,5290.9,5157.6,12800,0,0,111.7,114582,492.4,499.0,579.8,864.0,2222.7,2428.0
threaded_server,128,128,1035.2,1024647.3,78465.2,25600,0,0,229.9,111339,1056.4,1068.5,1203.2,2656.6,3796.4,9593.8
threaded_server,256,256,1079.9,1070705.2,497726.9,51200,0,0,529.4,96721,1907.4,1903.1,3174.4,6544.5,10215.1,21384.9
threaded_server,512,512,1093.2,1044053.9,1012344.7,49000,53400,0,10393.0,4715,1689.3,1840.4,2132.1,3590.4,6678.4,12804.9
threaded_server,1024,1024,2139.9,2077100.4,751946.8,93600,111200,0,10204.4,9173,4129.1,3850.2,7053.4,13146.2,19933.0,78028.8
threadpool_server,1,1,0.2,99.6,42.3,200,0,0,9.3,21526,46.0,47.9,55.0,67.3,78.7,78.8
